State,BRANCH NAME,VillageName,Center,Customer_Name,OutStanding_Principal,Num_Days_SinceLAstDue,Bucket_Name
S2,PAI,329,44,C299,4797,0,Current (0 Days)
S2,SHA,278,12,C300,8943,0,Current (0 Days)
S2,BAD,225,35,C301,7487,0,Current (0 Days)
S2,CHA,276,36,C302,954,0,Current (0 Days)
S2,NIL,358,65,C303,366,0,Current (0 Days)
S1,HOS,516,85,C304,4482,0,Current (0 Days)
S1,HOS,516,85,C305,4482,0,Current (0 Days)
S2,HAD,194,12,C306,4790,0,Current (0 Days)
S2,HAD,194,12,C307,4790,0,Current (0 Days)
S2,HAD,194,12,C308,4790,0,Current (0 Days)
S2,AHM,353,33,C309,8873,0,Current (0 Days)
S2,AHM,353,15,C310,7784,0,Current (0 Days)
S2,AHM,353,15,C311,6392,0,Current (0 Days)
S2,NAN,202,44,C312,5901,0,Current (0 Days)
S2,BAS,196,41,C313,15918,0,Current (0 Days)
S2,SHA,279,86,C314,12896,0,Current (0 Days)
S2,NAN,197,78,C315,5367,0,Current (0 Days)
S2,NAN,197,78,C316,6123,0,Current (0 Days)
S2,NAN,197,78,C317,5367,0,Current (0 Days)
S2,NAN,197,78,C318,5367,0,Current (0 Days)
S2,HAD,195,81,C319,9607,0,Current (0 Days)
S2,HAD,195,81,C320,9607,0,Current (0 Days)
S2,HAD,180,42,C321,8217,0,Current (0 Days)
S2,HAD,180,42,C322,8217,0,Current (0 Days)
S2,NAN,197,78,C323,5367,0,Current (0 Days)
S2,PAL,272,16,C324,18784,0,Current (0 Days)
S2,BAS,196,56,C325,482,0,Current (0 Days)
S2,KIN,192,29,C326,25,0,Current (0 Days)
S2,AMB,349,14,C327,8214,0,Current (0 Days)
S2,AMB,349,14,C328,10145,0,Current (0 Days)
S2,PAI,244,17,C329,107,0,Current (0 Days)
S2,PAI,342,40,C330,4340,0,Current (0 Days)
S2,AUR,242,12,C331,107,0,Current (0 Days)
S2,AUR,242,12,C332,1023,0,Current (0 Days)
S2,AUR,238,45,C333,610,0,Current (0 Days)
S2,PAI,245,86,C334,1146,0,Current (0 Days)
S2,NAN,198,17,C335,731,0,Current (0 Days)
S2,AHM,353,15,C336,7310,0,Current (0 Days)
S2,NIL,357,45,C337,542,0,Current (0 Days)
S2,NIL,357,45,C338,1199,0,Current (0 Days)
S2,NAN,196,12,C339,6458,0,Current (0 Days)
S2,NAI,201,48,C340,9186,0,Current (0 Days)
S2,NAI,201,48,C341,8858,0,Current (0 Days)
S2,NAI,201,48,C342,9934,0,Current (0 Days)
S2,NIL,358,19,C343,3787,0,Current (0 Days)
S2,NIL,358,19,C344,1012,0,Current (0 Days)
S2,HAD,179,73,C345,2768,0,Current (0 Days)
S2,NAI,201,74,C346,8245,0,Current (0 Days)
S2,NAI,201,74,C347,7579,0,Current (0 Days)
S2,NAI,201,74,C348,6878,0,Current (0 Days)
S2,HAD,194,16,C349,5578,0,Current (0 Days)
S2,HAD,194,31,C350,1664,0,Current (0 Days)
S2,NAN,202,10,C351,1147,0,Current (0 Days)
S2,NAN,197,78,C352,6360,0,Current (0 Days)
S2,NAN,197,24,C353,8053,0,Current (0 Days)
S2,HAD,194,12,C354,5577,0,Current (0 Days)
S2,HAD,194,10,C355,5573,0,Current (0 Days)
S2,BAS,196,23,C356,1090,0,Current (0 Days)
S2,BAS,213,35,C357,388,0,Current (0 Days)
S2,BAS,214,91,C358,8930,0,Current (0 Days)
S2,BAS,214,91,C359,7621,0,Current (0 Days)
S2,BAS,214,91,C360,8306,0,Current (0 Days)
